country,code,year,imported_deforestation
Afghanistan,AFG,2013,652.5734667452028
Albania,ALB,2013,273.9640269580851
Algeria,DZA,2013,17952.924035519572
Angola,AGO,2013,5823.8892067475535
Argentina,ARG,2013,2288.38009757534
Armenia,ARM,2013,434.5095624817805
Aruba,ABW,2013,137.89598724919168
Australia,AUS,2013,4361.945171784719
Austria,AUT,2013,2419.815321901436
Azerbaijan,AZE,2013,903.3685955874996
Bahamas,BHS,2013,148.12235770040988
Bahrain,BHR,2013,755.1940543340071
Bangladesh,BGD,2013,15269.22705058326
Barbados,BRB,2013,155.3028102909633
Belarus,BLR,2013,1062.036103906374
Belgium,BEL,2013,8520.40599977923
Belize,BLZ,2013,54.58252074349491
Benin,BEN,2013,1268.3379013569906
Bermuda,BMU,2013,16.248051428864517
Bhutan,BTN,2013,3.883613041274941
Bosnia and Herzegovina,BIH,2013,533.1941440209536
Botswana,BWA,2013,973.4923123361172
Brazil,BRA,2013,37769.96781122242
Brunei,BRN,2013,257.15585704290254
Bulgaria,BGR,2013,1423.7521503901348
Burkina Faso,BFA,2013,614.6232232849583
Burundi,BDI,2013,227.82478018363167
Cambodia,KHM,2013,562.7681927440717
Cameroon,CMR,2013,863.937488247142
Canada,CAN,2013,5401.245027811636
Cape Verde,CPV,2013,279.16790893541054
Cayman Islands,CYM,2013,35.20645052364823
Central African Republic,CAF,2013,47.78050773233281
Chad,TCD,2013,15.06424093705391
Chile,CHL,2013,26662.602775021704
China,CHN,2013,270174.0556825453
Colombia,COL,2013,11752.870463784971
Congo,COG,2013,602.9662809030342
Cook Islands,COK,2013,4.781795490609457
Costa Rica,CRI,2013,2432.762891552582
Cote d'Ivoire,CIV,2013,819.3359063476546
Croatia,HRV,2013,741.4627994139273
Cuba,CUB,2013,2297.5679574174083
Cyprus,CYP,2013,400.2523007941369
Democratic Republic of Congo,COD,2013,2138.80815867371
Denmark,DNK,2013,2959.179475920687
Djibouti,DJI,2013,3679.354354821133
Dominica,DMA,2013,0.8473112757999801
Dominican Republic,DOM,2013,2134.527925103936
East Timor,TLS,2013,223.2450256923288
Ecuador,ECU,2013,1861.36247540524
Egypt,EGY,2013,41038.2246317709
El Salvador,SLV,2013,3239.938935997133
Equatorial Guinea,GNQ,2013,200.0326345717956
Eritrea,ERI,2013,90.4339144791915
Estonia,EST,2013,356.7086262012318
Ethiopia,ETH,2013,3475.7472078161227
Fiji,FJI,2013,120.66626347703108
Finland,FIN,2013,1388.855756683662
France,FRA,2013,21888.559406761666
French Guiana,GUF,2013,0.0
French Polynesia,PYF,2013,101.02333601311778
Gabon,GAB,2013,476.9570361787587
Gambia,GMB,2013,128.90233627073013
Georgia,GEO,2013,902.3800168259085
Germany,DEU,2013,36883.039541359256
Ghana,GHA,2013,1721.6030789302931
Greece,GRC,2013,4655.669463512233
Grenada,GRD,2013,25.60956414776249
Guadeloupe,GLP,2011,0.0
Guatemala,GTM,2013,1428.6000395072117
Guinea,GIN,2013,854.253311850618
Guinea-Bissau,GNB,2013,78.35227489062527
Guyana,GUY,2013,112.27168336733826
Haiti,HTI,2013,1137.5230707773162
Honduras,HND,2013,436.0059370150666
Hong Kong,HKG,2013,23265.815466090942
Hungary,HUN,2013,1472.0886716190312
Iceland,ISL,2013,73.02351130403136
India,IND,2013,110672.93848323898
Indonesia,IDN,2013,19346.96963165729
Iran,IRN,2013,25532.63896105187
Iraq,IRQ,2013,3053.059182548648
Ireland,IRL,2013,2188.5106964790853
Israel,ISR,2013,5785.67007202364
Italy,ITA,2013,35308.85482446055
Jamaica,JAM,2013,923.8362094222754
Japan,JPN,2013,77276.91225898867
Jordan,JOR,2013,4781.045366235652
Kazakhstan,KAZ,2013,1315.3760809252265
Kenya,KEN,2013,8065.293417026216
Kiribati,KIR,2013,86.50937946491732
Kuwait,KWT,2013,2620.600627473326
Kyrgyzstan,KGZ,2013,150.49723139701496
Laos,LAO,2013,461.3954985727396
Latvia,LVA,2013,637.8983806665387
Lebanon,LBN,2013,3394.6280039452863
Lesotho,LSO,2013,778.9020587123919
Liberia,LBR,2013,333.28284798379264
Libya,LBY,2013,3412.852812890197
Lithuania,LTU,2013,538.7452288102243
Luxembourg,LUX,2013,490.4566006889789
Macao,MAC,2013,398.3820030622728
Madagascar,MDG,2013,4081.362691226146
Malawi,MWI,2013,1002.68103213403
Malaysia,MYS,2013,20126.787833958144
Maldives,MDV,2013,263.1966819588783
Mali,MLI,2013,115.07127147724988
Malta,MLT,2013,289.85787667924325
Martinique,MTQ,2012,0.0
Mauritania,MRT,2013,916.9827376817708
Mauritius,MUS,2013,896.3795934707275
Mexico,MEX,2013,13110.680506464996
Moldova,MDA,2013,118.96304414612884
Mongolia,MNG,2013,110.26976973657482
Montenegro,MNE,2013,114.94978946436252
Morocco,MAR,2013,6374.606147035536
Mozambique,MOZ,2013,1837.2421823820623
Myanmar,MMR,2013,5525.847454734227
Namibia,NAM,2013,1480.152373971288
Nepal,NPL,2013,2087.902481858514
Netherlands,NLD,2013,22079.52726185107
New Caledonia,NCL,2013,92.3879314291154
New Zealand,NZL,2013,3791.294155088425
Nicaragua,NIC,2013,502.2325200813975
Niger,NER,2013,454.2647042033763
Nigeria,NGA,2013,5594.928523928858
North Korea,PRK,2013,616.4014084041523
Norway,NOR,2013,1239.8091049767368
Oman,OMN,2013,3190.9810863575944
Pakistan,PAK,2013,17862.728179329097
Palestine,PSE,2013,37.8503062719125
Panama,PAN,2013,1157.589268378003
Papua New Guinea,PNG,2013,194.8258688172955
Paraguay,PRY,2013,421.2688984739507
Peru,PER,2013,12014.283208093664
Philippines,PHL,2013,7833.769828517215
Poland,POL,2013,10793.920392531563
Portugal,PRT,2013,8446.198453536177
Qatar,QAT,2013,1050.6724428855766
Reunion,REU,2013,0.0
Romania,ROU,2013,2909.674530287548
Russia,RUS,2013,72298.53333603268
Rwanda,RWA,2013,542.3398457043511
Saint Lucia,LCA,2013,26.77525583957916
Saint Vincent and the Grenadines,VCT,2013,0.7390188648998898
Samoa,WSM,2013,82.22559313062003
Sao Tome and Principe,STP,2013,0.481548305675518
Saudi Arabia,SAU,2013,24167.08305661236
Senegal,SEN,2013,1231.2280699444611
Serbia,SRB,2013,844.1549307887664
Seychelles,SYC,2013,62.16737284132216
Sierra Leone,SLE,2013,387.5033002908749
Singapore,SGP,2013,11014.731547311496
Slovakia,SVK,2013,2321.7826461544387
Slovenia,SVN,2013,1254.484484766073
Solomon Islands,SLB,2013,0.0
Somalia,SOM,2013,499.96379912107307
South Africa,ZAF,2013,16637.50874836147
South Korea,KOR,2013,40224.71328877312
Spain,ESP,2013,27695.32178247189
Sri Lanka,LKA,2013,2090.320310089888
Sudan,SDN,2011,1430.3378917594048
Suriname,SUR,2013,97.23755432801954
Sweden,SWE,2013,3733.7887135173646
Switzerland,CHE,2013,4301.132756638735
Syria,SYR,2013,1143.4832777711565
Taiwan,TWN,2013,13042.675089979024
Tajikistan,TJK,2013,102.27871508947536
Tanzania,TZA,2013,2938.856807311997
Thailand,THA,2013,13620.64703896075
Togo,TGO,2013,296.4154247408187
Tonga,TON,2013,0.8715739449727978
Trinidad and Tobago,TTO,2013,518.9740356729669
Tunisia,TUN,2013,4427.0097733499215
Turkey,TUR,2013,20092.6497310888
Turkmenistan,TKM,2013,186.98935070295695
Uganda,UGA,2013,2420.3034692605142
Ukraine,UKR,2013,3794.281389552726
United Arab Emirates,ARE,2013,13125.008500675278
United Kingdom,GBR,2013,26483.34578616505
United States,USA,2013,68427.87244270777
Uruguay,URY,2013,1449.7530183930412
Uzbekistan,UZB,2013,315.64348792686764
Vanuatu,VUT,2013,1.7636518050641463
Venezuela,VEN,2013,28043.954788471696
Vietnam,VNM,2013,22059.823374014413
Yemen,YEM,2013,3257.7578200362213
Zambia,ZMB,2013,545.9722033232101
Zimbabwe,ZWE,2013,3565.574378661082
